register,user,title,year,score,users_rating,votes,metascore,codirector,director,cogenre,genre,mainactor,secactor,seclanguage,vose,country,seccountry
174,josciclir66828@movistar.com,New Year's Evil,1980,,4.9,2435,33,,Emmett Alston,Thriller,Horror,Roz Kelly,Kip Niven,,English,USA,
175,wiosormas415@movistar.com,Revenge,1990,,6.3,16077,35,,Tony Scott,Crime,Action,Kevin Costner,Anthony Quinn,Spanish,English,USA,Mexico
176,annroddio997@gmail.com,Swing Shift,1984,,5.9,4094,60,,Jonathan Demme,Romance,Drama,Goldie Hawn,Kurt Russell,,English,USA,
177,peltuegus5983@jazztel.com,This Is the End,2013,5.0,6.59999574011507,375597,67,Seth Rogen,Evan Goldberg,,Comedy,James Franco,Jonah Hill,Spanish,English,USA,
178,darciplle4433@jazztel.com,The Master of Disguise,2002,,3.3,21788,12,,Perry Andelin Blake,Comedy,Adventure,Dana Carvey,Jennifer Esposito,,English,USA,
179,temifkalo07834@orange.com,Cry-Baby,1990,,6.5,53222,63,,John Waters,Musical,Comedy,Johnny Depp,Amy Locane,,English,USA,
180,aleechgua159671@movistar.com,Love Is Blind,2019,,5.0,469,25,Andy Delaney,Monty Whitebloom,Drama,Comedy,Shannon Tarbet,Aidan Turner,,English,USA,
181,jacavioli86730@vodafone.com ,Romancing the Stone,1984,,6.9,80088,63,,Robert Zemeckis,Adventure,Action,Michael Douglas,Kathleen Turner,Spanish,English,Mexico,USA
182,joasantey6285@orange.com,The Curse of la Llorona,2019,,5.3,33316,41,,Michael Chaves,Mystery,Horror,Linda Cardellini,Roman Christou,Spanish,English,USA,
183,marchesui6@vodafone.com ,Star Trek: First Contact,1996,10.0,7.600020832429148,115205,71,,Jonathan Frakes,Adventure,Action,Patrick Stewart,Jonathan Frakes,,English,USA,
184,conwendi39269@orange.com,Intruders,2011,,5.4,11105,45,,Juan Carlos Fresnadillo,Horror,Fantasy,Clive Owen,Carice van Houten,Spanish,English,USA,UK
185,raqmirbra6@digi.com,The Intruder,2019,2.0,5.599683683331868,11381,39,,Deon Taylor,Horror,Drama,Michael Ealy,Joseph Sikora,,English,USA,Canada
186,temifkalo07834@orange.com,Urban Cowboy,1980,2.0,6.299661230599543,12693,61,,James Bridges,Romance,Drama,John Travolta,Debra Winger,Spanish,English,USA,
187,conwendi39269@orange.com,Brüno,2009,,5.8,138032,54,,Larry Charles,,Comedy,Sacha Baron Cohen,Gustaf Hammarsten,German,English,USA,UK
188,siljaugea161@orange.com,Pain & Gain,2013,,6.4,196371,45,,Michael Bay,Comedy,Action,Mark Wahlberg,Dwayne Johnson,,English,USA,
189,anaustdob5@digi.com,Wolfen,1981,10.0,6.300423971582445,8727,64,,Michael Wadleigh,Thriller,Horror,Albert Finney,Diane Venora,,English,USA,
190,alifenvel96289@vodafone.com ,My Cousin Vinny,1992,,7.6,102397,68,,Jonathan Lynn,Crime,Comedy,Joe Pesci,Ralph Macchio,,English,USA,
191,temifkalo07834@orange.com,School Daze,1988,6.0,6.0,6025,49,,Spike Lee,Drama,Comedy,Laurence Fishburne,Giancarlo Esposito,,English,USA,
192,crileceng08@vodafone.com ,Isle of Dogs,2018,,7.9,129530,82,,Wes Anderson,Adventure,Animation,Bryan Cranston,Koyu Rankin,Japanese,English,Germany,Japan
193,josdasvig2879@orange.com,+1,2013,,5.5,7614,60,,Dennis Iliadis,Sci-Fi,Horror,Rhys Wakefield,Logan Miller,,English,USA,
194,pabkarbor59537@hotmail.com,Found,2012,,5.8,3651,41,,Scott Schirmer,Horror,Drama,Gavin Brown,Ethan Philbeck,,English,USA,
195,fedarrker26@jazztel.com,My Little Pony: The Movie,2017,7.0,6.100157425223019,5717,39,,Jayson Thiessen,Adventure,Animation,Uzo Aduba,Ashleigh Ball,,English,USA,Canada
196,anaustdob5@digi.com,The Guru,2002,1.0,5.299706524706525,14652,47,,Daisy von Scherler Mayer,Music,Comedy,Jimi Mistry,Heather Graham,Hindi,English,UK,France
197,peltuegus5983@jazztel.com,Heartbreak Ridge,1986,,6.9,38334,53,,Clint Eastwood,War,Drama,Clint Eastwood,Marsha Mason,Spanish,English,USA,
198,yesbelhar0221@gmail.com,Videodrome,1983,6.0,7.199985051572076,80276,60,,David Cronenberg,Sci-Fi,Horror,James Woods,Sonja Smits,,English,Canada,France
199,juaaouesq86543@vodafone.com ,Scream 3,2000,,5.6,120041,56,,Wes Craven,Mystery,Horror,Liev Schreiber,Beth Toussaint,,English,USA,
200,marchesui6@vodafone.com ,Father Figures,2017,,5.5,16912,22,,Lawrence Sher,Drama,Comedy,Robert Jon Mello,Ed Helms,,English,USA,
201,estgubalz27234@gmail.com,Dreamer: Inspired by a True Story,2005,,6.8,11829,59,,John Gatins,Family,Drama,Kurt Russell,Dakota Fanning,,English,USA,
202,mimguarez39608@orange.com,Black Swan,2010,,8.0,680793,79,,Darren Aronofsky,Thriller,Drama,Natalie Portman,Mila Kunis,French,English,USA,
203,vlabonalb299970@digi.com,Lord of War,2005,10.0,7.600008335822502,287914,62,,Andrew Niccol,Crime,Action,Nicolas Cage,Bridget Moynahan,Ukrainian,English,USA,Germany
204,crileceng08@vodafone.com ,Kill Bill: Vol. 1,2003,,8.1,967359,69,,Quentin Tarantino,Crime,Action,Uma Thurman,Lucy Liu,Japanese,English,USA,Japan
205,raqmirbra6@digi.com,Weightless,2017,,5.7,181,56,,Jaron Albertin,,Drama,Julianne Nicholson,Marc Menchaca,,English,USA,
206,ayapamaba766140@hotmail.com,Diary of the Dead,2007,,5.6,45249,66,,George A. Romero,Horror,Fantasy,Todd Schroeder,Laura de Carteret,,English,USA,Canada
207,tarbelmor2@digi.com,E.T. the Extra-Terrestrial,1982,1.0,7.799981023926596,358346,91,,Steven Spielberg,Sci-Fi,Family,Dee Wallace,Henry Thomas,,English,USA,
208,ainsalalp45038@movistar.com,Sneakers,1992,,7.1,50844,65,,Phil Alden Robinson,Crime,Comedy,Jo Marr,Gary Hershberger,Russian,English,USA,
210,pabkarbor59537@hotmail.com,Bug,2006,,6.1,32258,62,,William Friedkin,Horror,Drama,Ashley Judd,Michael Shannon,,English,USA,Germany
211,naytracam020337@digi.com,Are We Not Cats,2016,8.0,5.804014598540146,548,68,,Xander Robin,Horror,Comedy,Michael Patrick Nicholson,Chelsea Lopez,,English,USA,
213,manortlle3879@gmail.com,The Last Man,2000,5.0,5.299457504520795,553,32,,Harry Ralston,Comedy,Action,David Arnott,Jeri Ryan,,English,USA,
214,hercamare50@vodafone.com ,8MM,1999,1.0,6.4999543265238335,120420,19,,Joel Schumacher,Thriller,Mystery,Nicolas Cage,Joaquin Phoenix,,English,Germany,USA
215,alifenvel96289@vodafone.com ,Corporate Animals,2019,,4.4,1727,31,,Patrick Brice,Horror,Comedy,Demi Moore,Ed Helms,,English,USA,
216,kencarzai79@jazztel.com,There's Something About Mary,1998,,7.1,284307,69,Peter Farrelly,Bobby Farrelly,Romance,Comedy,Cameron Diaz,Matt Dillon,,English,USA,
217,adachusan1@movistar.com,Bang the Drum Slowly,1973,6.0,6.899826723142088,5194,80,,John D. Hancock,Sport,Drama,Michael Moriarty,Robert De Niro,Spanish,English,USA,
218,isasasjar59@orange.com,The King of Staten Island,2020,,7.1,1585,68,,Judd Apatow,Drama,Comedy,Pete Davidson,Bel Powley,,English,USA,
219,javriscon547659@gmail.com,Network,1976,,8.1,140110,83,,Sidney Lumet,,Drama,Faye Dunaway,William Holden,,English,USA,
220,jaibelvec58@movistar.com,Girls Against Boys,2012,,4.7,3354,17,,Austin Chick,Horror,Drama,Nicole LaLiberte,Danielle Panabaker,,English,USA,
221,julharsel07108@orange.com,G.I. Jane,1997,,5.9,71499,62,,Ridley Scott,Drama,Action,Demi Moore,Viggo Mortensen,,English,USA,UK
222,tabcalras13@hotmail.com,The Unspeakable Act,2012,,5.7,484,76,,Dan Sallitt,,Drama,Tallie Medel,Sky Hirschkron,,English,USA,
223,adachusan1@movistar.com,The Twilight Saga: New Moon,2009,,4.7,258373,44,,Chris Weitz,Drama,Adventure,Kristen Stewart,Christina Jastrzembska,Italian,English,USA,
224,annroddio997@gmail.com,Hard Rain,1998,,5.9,31418,36,,Mikael Salomon,Crime,Action,Morgan Freeman,Christian Slater,,English,USA,UK
225,vlabonalb299970@digi.com,Exists,2014,,5.2,7989,22,,Eduardo Sánchez,Adventure,Action,Chris Osborn,Dora Madison,,English,USA,
226,verrocmat8819@digi.com,Barry Lyndon,1975,,8.1,143059,89,,Stanley Kubrick,Drama,Adventure,Ryan O'Neal,Marisa Berenson,German,English,UK,USA
227,emigraloz8@hotmail.com,Christmas in the Clouds,2001,3.0,6.494942196531792,692,56,,Kate Montgomery,Family,Comedy,Timothy Vahle,Sam Vlahos,,English,USA,
228,juaaouesq86543@vodafone.com ,Don't Sleep,2017,,3.4,988,26,,Rick Bieber,Horror,Fantasy,Dominic Sherwood,Charlbi Dean,,English,USA,
229,guemaiiva047323@vodafone.com ,National Security,2003,,5.6,46414,31,,Dennis Dugan,Comedy,Action,Martin Lawrence,Steve Zahn,,English,USA,
231,naytracam020337@digi.com,Valley of Saints,2012,,7.1,175,85,,Musa Syeed,,Drama,Mohammed Afzal,Gulzar Ahmed Bhat,English,Kashmiri,India,USA
232,yahkniple6@orange.com,Final Fantasy: The Spirits Within,2001,,6.4,79300,49,Motonori Sakakibara,Hironobu Sakaguchi,Action,Animation,Ming-Na Wen,Alec Baldwin,,English,USA,Japan
233,wiosormas415@movistar.com,Teenage Mutant Ninja Turtles III,1993,,4.8,30089,40,,Stuart Gillard,Adventure,Action,Elias Koteas,Paige Turco,,English,USA,Hong Kong
234,josdasvig2879@orange.com,The Motel Life,2012,,5.9,3404,61,Gabe Polsky,Alan Polsky,Drama,Animation,Emile Hirsch,Stephen Dorff,,English,USA,
235,adrlukest73@movistar.com,Least Among Saints,2012,,6.5,558,32,,Martin Papazian,Drama,Crime,Martin Papazian,Tristan Lake Leabu,,English,USA,
236,saafrarei8189@jazztel.com,Running with Scissors,2006,,6.2,21657,52,,Ryan Murphy,Drama,Comedy,Annette Bening,Brian Cox,,English,USA,
237,yesbelhar0221@gmail.com,Gods and Monsters,1998,,7.4,28589,74,,Bill Condon,Drama,Biography,Ian McKellen,Brendan Fraser,Hungarian,English,USA,UK
238,sanolealg5@vodafone.com ,Next Friday,2000,,6.2,35689,41,,Steve Carr,,Comedy,Ice Cube,Mike Epps,Spanish,English,USA,
239,ainsalalp45038@movistar.com,Rainbow Time,2016,,5.9,543,55,,Linas Phillips,Drama,Comedy,Linas Phillips,Melanie Lynskey,,English,USA,
240,adrlukest73@movistar.com,Jurassic Park,1993,,8.1,833363,68,,Steven Spielberg,Adventure,Action,Sam Neill,Laura Dern,Spanish,English,USA,
241,angabafah7@vodafone.com ,Abundant Acreage Available,2017,,5.7,204,68,,Angus MacLachlan,,Drama,Steve Coulter,Max Gail,,English,USA,
242,kevurigav650483@movistar.com,Connie and Carla,2004,,6.3,7801,44,,Michael Lembeck,Crime,Comedy,Nia Vardalos,Toni Collette,,English,USA,
243,adachusan1@movistar.com,The Valley,2017,2.0,7.008928571428571,56,33,,Saila Kariat,Mystery,Drama,Alyy Khan,Suchitra Pillai,,English,USA,
244,chobunbux37@orange.com,Madame Bovary,2014,,5.7,7391,52,,Sophie Barthes,Romance,Drama,Mia Wasikowska,Rhys Ifans,French,English,Germany,Belgium
245,julharsel07108@orange.com,Red Knot,2014,,5.2,431,61,,Scott Cohen,,Drama,Olivia Thirlby,Vincent Kartheiser,Polish,English,USA,Argentina
246,vikmoulir84896@gmail.com,Gone Baby Gone,2007,7.0,7.599997536885144,243594,72,,Ben Affleck,Drama,Crime,Casey Affleck,Michelle Monaghan,,English,USA,
247,siljaugea161@orange.com,When We First Met,2018,3.0,6.3999141327406806,39596,36,,Ari Sandel,Fantasy,Comedy,Adam Devine,Alexandra Daddario,Mandarin,English,USA,
249,jaighasal61@digi.com,Real Genius,1985,,7.0,29356,71,,Martha Coolidge,Romance,Comedy,Val Kilmer,Gabriel Jarret,,English,USA,
250,anaustdob5@digi.com,The Lorax,2012,,6.4,94961,46,Kyle Balda,Chris Renaud,Adventure,Animation,Danny DeVito,Ed Helms,,English,USA,France
251,raqmirbra6@digi.com,Police Academy 3: Back in Training,1986,2.0,5.399917747242114,41336,33,,Jerry Paris,,Comedy,Steve Guttenberg,Bubba Smith,,English,Canada,USA
252,yahkniple6@orange.com,Something Borrowed,2011,,5.9,56350,36,,Luke Greenfield,Drama,Comedy,Ginnifer Goodwin,Kate Hudson,,English,USA,
253,guiurdfel76@digi.com,Wake,2003,1.0,6.584487534626039,361,34,,Roy Finch,,Drama,Blake Gibbons,Gale Harold,,English,USA,
254,isademiq051102@vodafone.com ,Appaloosa,2008,,6.699987797437462,57365,64,,Ed Harris,Crime,Action,Robert Jauregui,Jeremy Irons,Apache languages,English,USA,
255,ainsalalp45038@movistar.com,The Jimmy Show,2001,,5.2,524,39,,Frank Whaley,Drama,Comedy,Frank Whaley,Carla Gugino,,English,USA,
256,yahkniple6@orange.com,Wild Things,1998,,6.5,105186,52,,John McNaughton,Drama,Crime,Kevin Bacon,Matt Dillon,,English,USA,
257,layprella7@vodafone.com ,Jacob's Ladder,2019,,3.4,95781,31,,David M. Rosenthal,Horror,Drama,Michael Ealy,Jesse Williams,,English,USA,
258,humpenpor2@orange.com,Star Wars: The Clone Wars,2008,,5.9,55005,35,,Dave Filoni,Action,Animation,Matt Lanter,Ashley Eckstein,,English,USA,
259,darciplle4433@jazztel.com,Murder of a Cat,2014,,5.3,1515,31,,Gillian Greene,Crime,Comedy,Fran Kranz,Aidan Andrews,,English,USA,
260,arimarman2722@gmail.com,Bachelorette,2012,,5.3,44495,53,,Leslye Headland,Romance,Comedy,Kirsten Dunst,Rebel Wilson,,English,USA,
261,nicpetriu089@movistar.com,Face/Off,1997,1.0,7.299981506650267,340663,82,,John Woo,Crime,Action,John Travolta,Nicolas Cage,Latin,English,USA,
262,levbouel8567@vodafone.com ,Simon Birch,1998,,6.9,20204,39,,Mark Steven Johnson,Drama,Comedy,Joseph Mazzello,Ashley Judd,,English,USA,
263,chobunbux37@orange.com,The Lego Ninjago Movie,2017,,6.0,21415,55,Paul Fisher,Charlie Bean,Action,Animation,Jackie Chan,Dave Franco,,English,USA,Denmark
264,julharsel07108@orange.com,The Bad News Bears,1976,,7.29973058153721,19672,84,,Michael Ritchie,Drama,Comedy,Walter Matthau,Tatum O'Neal,Spanish,English,USA,
265,humpenpor2@orange.com,Knight of Cups,2015,,5.7,23976,53,,Terrence Malick,Romance,Drama,Christian Bale,Cate Blanchett,German,English,USA,
266,adachusan1@movistar.com,The Wedding Date,2005,,6.2,47158,32,,Clare Kilner,Romance,Comedy,Debra Messing,Dermot Mulroney,,English,USA,UK
267,josciclir66828@movistar.com,Shirley Valentine,1989,,7.2,6745,52,,Lewis Gilbert,Drama,Comedy,Pauline Collins,Tom Conti,,English,UK,USA
268,javriscon547659@gmail.com,Titus,1999,,7.1,19337,57,,Julie Taymor,History,Drama,Osheen Jones,Dario D'Ambrosi,Latin,English,UK,Italy
269,nicpetriu089@movistar.com,The Human Centipede III (Final Sequence),2015,1.0,2.699878675421068,14012,5,,Tom Six,Horror,Comedy,Dieter Laser,Laurence R. Harvey,,English,USA,
270,alifenvel96289@vodafone.com ,Cloudy with a Chance of Meatballs 2,2013,10.0,6.400041383591406,86991,59,Kris Pearn,Cody Cameron,Adventure,Animation,Bill Hader,Anna Faris,Chinese,English,USA,
271,guiurdfel76@digi.com,The Human Stain,2003,,6.2,28714,57,,Robert Benton,Romance,Drama,Anthony Hopkins,Nicole Kidman,,English,Germany,France
272,aguherbas3716@gmail.com,Every Day,2018,2.0,6.399741024131843,16990,52,,Michael Sucsy,Fantasy,Drama,Angourie Rice,Justice Smith,,English,Canada,UK
273,ursridgra182458@movistar.com,Battleship,2012,8.0,5.800009481532561,232030,41,,Peter Berg,Adventure,Action,Taylor Kitsch,Alexander Skarsgård,Japanese,English,USA,
274,ainsalalp45038@movistar.com,Dom Hemingway,2013,,6.2,25265,55,,Richard Shepard,Crime,Comedy,Jude Law,Luca Zoo Franzoni,,English,UK,USA
275,guiurdfel76@digi.com,My Week with Marilyn,2011,,7.0,81783,65,,Simon Curtis,Drama,Biography,Michelle Williams,Eddie Redmayne,French,English,UK,USA
276,liznasnia193189@vodafone.com ,Last Christmas,2019,,6.5,34637,50,,Paul Feig,Drama,Comedy,Madison Ingoldsby,Emma Thompson,Serbo-Croatian,English,UK,USA
277,almfetest52084@jazztel.com,An American Werewolf in Paris,1997,,5.1,22611,31,,Anthony Waller,Fantasy,Comedy,Tom Everett Scott,Julie Delpy,French,English,UK,Netherlands
278,raqmirbra6@digi.com,Temple,2017,,3.6,4025,23,,Michael Barrett,Drama,Adventure,Logan Huffman,Natalia Warner,English,Japanese,Japan,USA
279,vazbanben7743@digi.com,Blinded by the Light,2019,,6.9,16543,71,,Gurinder Chadha,Drama,Comedy,Billy Barratt,Ronak Singh Chadha Berges,,English,UK,USA
280,ivamongra1@digi.com,Surveillance,2008,,6.3,16535,31,,Jennifer Lynch,Drama,Crime,Caroline Aaron,Hugh Dillon,,English,USA,Germany
281,estbouel3440@orange.com,Dealin' with Idiots,2013,4.0,5.498788368336026,1238,43,,Jeff Garlin,,Comedy,Jeff Garlin,Max Wright,,English,USA,
282,estbouel3440@orange.com,At Middleton,2013,,6.5,7631,60,,Adam Rodgers,Romance,Comedy,Andy Garcia,Vera Farmiga,,English,USA,
283,raqmirbra6@digi.com,Adam & Steve,2005,10.0,5.901391245334239,2947,48,,Craig Chester,Drama,Comedy,Malcolm Gets,Cary Curran,,English,USA,
284,raqmirbra6@digi.com,Kicks,2016,,6.4,4042,69,,Justin Tipping,Drama,Adventure,Jahking Guillory,Christopher Meyer,,English,USA,
285,alifenvel96289@vodafone.com ,Entourage,2015,,6.6,74455,38,,Doug Ellin,,Comedy,Kevin Connolly,Adrian Grenier,,English,USA,
286,mimguarez39608@orange.com,Willow,1988,,7.3,98049,47,,Ron Howard,Adventure,Action,Val Kilmer,Joanne Whalley,,English,USA,
287,jaibelvec58@movistar.com,Dr. Dolittle 2,2001,,4.7,40946,49,,Steve Carr,Family,Comedy,Eddie Murphy,Kristen Wilson,,English,USA,
288,ailestben8@jazztel.com,Free Ride,2013,,5.6,2063,41,,Shana Betz,Drama,Action,Anna Paquin,Liana Liberato,,English,USA,
289,angabafah7@vodafone.com ,The Brothers McMullen,1995,2.0,6.599417556510885,7211,73,,Edward Burns,Drama,Comedy,Shari Albert,Maxine Bahns,,English,USA,
290,ainsalalp45038@movistar.com,En el séptimo día,2017,,6.9,224,87,,Jim McKay,,Drama,Fernando Cardona,Gilberto Jimenez,Mixtec,Spanish,USA,
291,belcozkal350559@vodafone.com ,Grand Prix,1966,,7.2,7782,72,,John Frankenheimer,Sport,Drama,James Garner,Eva Marie Saint,French,English,USA,
292,joasantey6285@orange.com,Stars in Shorts,2012,,6.407960199004975,201,49,Robert Festinger,Jacob Chase,,Comedy,Lily Tomlin,Jesse Tyler Ferguson,,English,USA,
293,tarbelmor2@digi.com,The Little Traitor,2007,,6.9,802,47,,Lynn Roth,,Drama,Ido Port,Alfred Molina,English,Hebrew,Israel,USA
294,hercamare50@vodafone.com ,Top Gun,1986,,6.9,281834,50,,Tony Scott,Drama,Action,Tom Cruise,Kelly McGillis,,English,USA,
295,vicalihma19867@gmail.com,Love Object,2003,,6.3,3351,45,,Robert Parigi,Horror,Drama,Desmond Harrington,Melissa Sagemiller,,English,USA,
296,ainsalalp45038@movistar.com,The Last Boy Scout,1991,,7.0,90332,52,,Tony Scott,Comedy,Action,Bruce Willis,Damon Wayans,,English,USA,
297,estgubalz27234@gmail.com,Mystic Pizza,1988,,6.3,23850,60,,Donald Petrie,Drama,Comedy,Annabeth Gish,Julia Roberts,,English,USA,
298,naytracam020337@digi.com,The Postman,1997,9.0,6.100043179821623,67161,29,,Kevin Costner,Adventure,Action,Kevin Costner,Will Patton,,English,USA,
299,mimguarez39608@orange.com,The Vast of Night,2019,10.0,6.700406203840473,8124,84,,Andrew Patterson,Mystery,Drama,Sierra McCormick,Jake Horowitz,,English,USA,
300,marchesui6@vodafone.com ,Night Shift,1982,,6.6,13523,62,,Ron Howard,,Comedy,Henry Winkler,Michael Keaton,,English,USA,
301,tabcalras13@hotmail.com,Impolex,2009,,5.4,171,32,,Alex Ross Perry,Comedy,Adventure,Riley O'Bryan,Kate Lyn Sheil,,English,USA,
302,assaboshe7@vodafone.com ,The Art of Racing in the Rain,2019,,7.5,19447,43,,Simon Curtis,Drama,Comedy,Kevin Costner,Milo Ventimiglia,Italian,English,USA,
303,naytracam020337@digi.com,The Loneliest Planet,2011,,5.5,3776,76,,Julia Loktev,,Thriller,Hani Furstenberg,Gael García Bernal,Georgian,English,USA,Germany
304,adachusan1@movistar.com,The Bourne Ultimatum,2007,,8.0,594586,85,,Paul Greengrass,Mystery,Action,Matt Damon,Julia Stiles,French,English,USA,Germany
305,sanolealg5@vodafone.com ,Atomic Blonde,2017,0.0,6.7,167632,63,,David Leitch,Thriller,Action,Charlize Theron,James McAvoy,German,English,USA,Germany
306,gemyanbic970@hotmail.com,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,5.0,6.299943972762143,23203,70,,W.D. Richter,Comedy,Adventure,Peter Weller,John Lithgow,,English,USA,
307,chobunbux37@orange.com,Kill Me Later,2001,,6.3,2204,34,,Dana Lustig,Drama,Crime,Selma Blair,Max Beesley,,English,USA,
308,ismarrpla915496@movistar.com,Clara's Ghost,2018,,4.4,257,66,,Bridey Elliott,Drama,Comedy,Paula Niedert Elliott,Chris Elliott,,English,USA,
309,levbouel8567@vodafone.com ,Feral,2017,,4.500202675314147,2467,41,,Mark Young,Drama,Action,Scout Taylor-Compton,Olivia Luccardi,,English,USA,
310,yihcarhol30408@gmail.com,Kicking & Screaming,2005,,5.6,35253,45,,Jesse Dylan,Family,Comedy,Will Ferrell,Robert Duvall,Italian,English,USA,
311,guiurdfel76@digi.com,Turn the River,2007,3.0,5.79835390946502,1701,55,,Chris Eigeman,,Drama,Famke Janssen,Jaymie Dornan,,English,USA,
312,julharsel07108@orange.com,An Eye for an Eye,1981,,5.6,3439,33,,Steve Carver,Adventure,Action,Chuck Norris,Christopher Lee,,English,USA,
313,vikmoulir84896@gmail.com,Oliver & Company,1988,2.0,6.699888572783309,42180,58,,George Scribner,Adventure,Animation,Joey Lawrence,Billy Joel,,English,USA,
314,marchesui6@vodafone.com ,Middle Man,2016,,5.8,773,37,,Ned Crowley,Crime,Comedy,Jim O'Heir,Andrew J. West,,English,USA,
315,darciplle4433@jazztel.com,Blood Simple,1984,,7.6,84277,81,Ethan Coen,Joel Coen,Drama,Crime,John Getz,Frances McDormand,Spanish,English,USA,
316,marrachac85@movistar.com,Da Sweet Blood of Jesus,2014,,4.1,1380,52,,Spike Lee,Romance,Comedy,Stephen Tyrone Williams,Zaraah Abrahams,,English,USA,
317,vazbanben7743@digi.com,American Hero,2015,,4.9,3767,42,,Nick Love,Comedy,Action,Stephen Dorff,Eddie Griffin,,English,USA,
318,assaboshe7@vodafone.com ,Godspeed,2009,,4.4,512,42,,Robert Saitzyk,Mystery,Drama,Joseph McKelheer,Cory Knauf,,English,USA,
319,assaboshe7@vodafone.com ,Dirty Dancing: Havana Nights,2004,9.0,6.000114608801956,26176,39,,Guy Ferland,Music,Drama,Diego Luna,Romola Garai,Spanish,English,USA,
320,marmaybaz2601@movistar.com,Barcelona,1994,,7.0,5518,74,,Whit Stillman,Drama,Comedy,Taylor Nichols,Chris Eigeman,Spanish,English,USA,
321,guemaiiva047323@vodafone.com ,9 to 5,1980,2.0,6.799818202476992,26403,58,,Colin Higgins,,Comedy,Jane Fonda,Lily Tomlin,French,English,USA,
322,liznasnia193189@vodafone.com ,A Haunted House 2,2014,,4.7,19160,17,,Michael Tiddes,Fantasy,Comedy,Marlon Wayans,Jaime Pressly,,English,USA,
323,juaaouesq86543@vodafone.com ,D.E.B.S.,2004,7.0,5.300117638917722,14451,42,,Angela Robinson,Comedy,Action,Sara Foster,Jordana Brewster,,English,USA,
324,yurnalala36993@gmail.com,The Americanization of Emily,1964,,7.3,4581,68,,Arthur Hiller,Drama,Comedy,James Garner,Julie Andrews,,English,USA,
325,almfetest52084@jazztel.com,Mission: Impossible - Fallout,2018,,7.7,274309,86,,Christopher McQuarrie,Adventure,Action,Tom Cruise,Henry Cavill,French,English,USA,China
326,marrachac85@movistar.com,Seoul Searching,2015,,7.0,1081,63,,Benson Lee,Drama,Comedy,Justin Chon,Jessika Van,Korean,English,South Korea,China
327,adidialar3@digi.com,Austin Found,2017,,5.3,654,46,,Will Raée,Drama,Comedy,Linda Cardellini,Skeet Ulrich,,English,USA,
328,marrachac85@movistar.com,Margin Call,2011,2.0,7.099954771997659,112762,76,,J.C. Chandor,Thriller,Drama,Kevin Spacey,Paul Bettany,,English,USA,
329,wiltixtre7191@gmail.com,Sorcerer,1977,,7.7,16692,68,,William Friedkin,Drama,Adventure,Roy Scheider,Bruno Cremer,Spanish,English,USA,Mexico
330,eleirssas26@gmail.com,Wetlands,2019,6.0,4.205142857142857,350,37,,Emanuele Della Valle,Drama,Crime,Adewale Akinnuoye-Agbaje,Heather Graham,,English,USA,
331,emigraloz8@hotmail.com,Private Parts,1997,4.0,6.8999127058186085,33221,67,,Betty Thomas,Comedy,Biography,Howard Stern,Robin Quivers,,English,USA,
332,marmaybaz2601@movistar.com,Days and Nights,2014,,4.7,932,36,,Christian Camargo,Drama,Comedy,Allison Janney,Katie Holmes,,English,USA,
333,alifenvel96289@vodafone.com ,Mission: Impossible - Rogue Nation,2015,,7.4,331095,75,,Christopher McQuarrie,Adventure,Action,Tom Cruise,Jeremy Renner,English,Russian,USA,China
334,isademiq051102@vodafone.com ,The Sacrament,2013,,6.1,16399,49,,Ti West,Thriller,Horror,Joe Swanberg,AJ Bowen,,English,USA,
335,toldorral065@hotmail.com,The Den,2013,,6.0,12818,48,,Zachary Donohue,Mystery,Horror,Melanie Papalia,David Schlachtenhaufen,,English,USA,
336,jacavioli86730@vodafone.com ,P.S. I Love You,2007,,7.0,197071,39,,Richard LaGravenese,Drama,Comedy,Hilary Swank,Gerard Butler,,English,USA,
337,ayapamaba766140@hotmail.com,Defending Your Life,1991,,7.2,16343,63,,Albert Brooks,Drama,Comedy,Albert Brooks,Michael Durrell,Japanese,English,USA,
338,joasantey6285@orange.com,Armed Response,2017,,3.7,2111,13,,John Stockwell,Horror,Action,Wesley Snipes,Anne Heche,,English,USA,
339,elchadev223@jazztel.com,Striporama,1953,,6.3,52,46,,Jerald Intrator,Musical,Comedy,Georgia Sothern,Rosita Royce,,English,USA,
340,angabafah7@vodafone.com ,Year One,2009,10.0,4.900056641492671,90040,34,,Harold Ramis,,Comedy,Jack Black,Michael Cera,,English,USA,
341,belcozkal350559@vodafone.com ,Kalamity,2010,,4.6,385,28,,James M. Hausler,Thriller,Drama,Nick Stahl,Jonathan Jackson,,English,USA,
342,marmaybaz2601@movistar.com,To the Wonder,2012,,5.9,26562,58,,Terrence Malick,Romance,Drama,Ben Affleck,Olga Kurylenko,French,English,USA,
343,emigraloz8@hotmail.com,Rick,2003,7.0,6.001206272617612,829,52,,Curtiss Clayton,Drama,Comedy,Bill Pullman,Aaron Stanford,,English,USA,
344,tarbelmor2@digi.com,Go,1999,,7.2,65790,72,,Doug Liman,Crime,Comedy,Katie Holmes,Sarah Polley,,English,USA,
345,raubetpen522@jazztel.com,Mara,2018,,5.1,5902,32,,Clive Tonge,Horror,Crime,Olga Kurylenko,Craig Conway,,English,USA,
